"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL9A1",1.03567258791473e-10,0.828673245614035,5.79505574065587,0.688,0.053,1.22385429713884e-06
"BPIFB2",1.083116268691e-10,0.796875,15.3058980896031,0.594,0,1.27991849471216e-06
"TRIM25",1.09529789074375e-10,0.841008771929825,3.79884655063778,0.75,0.07,1.29431351749188e-06
"TNC",1.14955783260308e-10,0.114035087719298,-11.2382371107836,0,0.772,1.35843249078706e-06
"TNNC2",1.15099166883152e-10,0.114035087719298,-12.3476407931797,0,0.772,1.36012685505821e-06
"RPS26",1.19812578621253e-10,0.906798245614035,1.878078787931,0.969,0.561,1.41582524156735e-06
"TOX",1.22430402282459e-10,0.861019736842105,2.51579045129421,0.844,0.123,1.44676006377181e-06
"SINHCAF",1.23856891852412e-10,0.851151315789474,3.49281457256712,0.781,0.105,1.46361689101995e-06
"NFIB",1.2439197744519e-10,0.847587719298246,3.74476832447631,0.781,0.088,1.4699399974698e-06
"TUBB3",1.3429122428617e-10,0.87609649122807,4.4332825554555,0.844,0.228,1.58691939738967e-06
"SLC9A9",1.54312632479484e-10,0.101973684210526,-6.01099078391798,0.156,0.86,1.82351237801006e-06
"USP18",1.69106971854433e-10,0.864035087719298,3.44870247954715,0.844,0.158,1.99833708640384e-06
"NEO1",1.73620251916468e-10,0.884046052631579,3.23914242041338,0.906,0.281,2.0516705168969e-06
"PKIG",1.89067577568333e-10,0.908717105263158,1.4918304801549,0.969,0.947,2.234211564125e-06
"RASGEF1C",2.04129808904043e-10,0.818804824561403,2.38247818478401,0.688,0.035,2.41220195181907e-06
"STARD5",2.14992776586792e-10,0.874177631578947,3.07447131033222,0.906,0.211,2.54056964092613e-06
"RGS2",2.43355897369457e-10,0.12280701754386,-13.7721843256445,0,0.754,2.87573663921488e-06
"VAPB",2.65292871381549e-10,0.904879385964912,2.12128045410082,0.969,0.807,3.13496586111576e-06
"SLC6A2",2.97954393280763e-10,0.820449561403509,4.75260872260125,0.688,0.053,3.52092706539878e-06
"PACRG",3.09871410074761e-10,0.0981359649122807,-3.57436502706003,0.5,0.947,3.66175045285345e-06
"LFNG",3.53870700583517e-10,0.819078947368421,4.5588033402543,0.688,0.053,4.18169006879542e-06
"LPGAT1",3.66718944646288e-10,0.0981359649122807,-3.62312583373625,0.719,0.982,4.33351776888519e-06
"BCL11B",4.11474342913066e-10,0.78125,9.11366078429534,0.562,0,4.8623923102037e-06
"CCND1",4.11502891348116e-10,0.803728070175439,6.87152026232911,0.625,0.035,4.86272966706069e-06
"ACCSL",4.24191758275588e-10,0.78125,10.9647469747735,0.562,0,5.01267400754263e-06
"TMPRSS5",4.24338287083432e-10,0.78125,10.6705179473361,0.562,0,5.01440553846492e-06
"TPH2",4.24338287083432e-10,0.78125,11.2401577784095,0.562,0,5.01440553846492e-06
"CCND3",4.3112551868568e-10,0.792763157894737,7.96731633438567,0.594,0.018,5.09461025430868e-06
"RPSA",4.8315390353967e-10,0.899396929824561,1.27680997266272,0.969,1,5.70942967812828e-06
"CALB2",4.85775240280843e-10,0.893092105263158,2.13560274469057,1,0.509,5.74040601439872e-06
"MBNL2",4.9676885278376e-10,0.859649122807018,1.74756267407648,0.875,0.175,5.87031753334569e-06
"SMPX",5.05623632425479e-10,0.131578947368421,-10.8346650928764,0,0.737,5.97495446437188e-06
"HSP90B1",5.38298311574384e-10,0.898300438596491,1.66702169110914,1,0.947,6.3610711478745e-06
"JUP",5.61430191968962e-10,0.863212719298246,3.34359364053285,0.844,0.228,6.63442057849722e-06
"TWF1",5.7936612802408e-10,0.880482456140351,3.45114247772266,0.906,0.368,6.84636953486055e-06
"ATPIF1",6.65858026973884e-10,0.103892543859649,-1.57693511111759,1,1,7.86844430475039e-06
"CRIP2",7.43974519471992e-10,0.893092105263158,2.02031360598439,1,0.667,8.79154689660053e-06
"TGFBRAP1",7.58517808688261e-10,0.839089912280702,2.69425528606907,0.781,0.123,8.96340494526918e-06
"MYLIP",7.70686651398669e-10,0.887061403508772,1.98227359705647,1,0.474,9.10720415957807e-06
"DDX5",8.0874194121546e-10,0.894188596491228,1.34032485068459,1,0.947,9.55690351934309e-06
"CPE",8.43977849403511e-10,0.787828947368421,5.48564260442786,0.594,0.018,9.97328624640128e-06
"GLRX3",8.53241465257924e-10,0.886787280701754,2.11559610994576,0.969,0.509,1.00827543949529e-05
"MDK",9.32903457671717e-10,0.853892543859649,5.27997324037439,0.812,0.211,1.10241201593067e-05
"ANP32B",9.7181946174989e-10,0.880208333333333,2.54575751924659,0.938,0.421,1.14839905794984e-05
"GADD45G",1.01901806368108e-09,0.875,2.70333567716786,0.969,0.333,1.20417364585193e-05
"CARHSP1",1.02824877666734e-09,0.112116228070175,-3.24155069252188,0.375,0.93,1.2150815793878e-05
"FAM19A4",1.03801077266735e-09,0.140350877192982,-12.6595891160393,0,0.719,1.22661733006101e-05
"LOC107054473",1.0485372489493e-09,0.119517543859649,-3.77021983326667,0.219,0.842,1.23905646708339e-05
"SIPA1L2",1.1169124768449e-09,0.862938596491228,1.82745840123643,0.938,0.228,1.31985547388762e-05
"ROBO1",1.15889318164837e-09,0.884320175438597,0.372533294475619,1,0.509,1.36946407275387e-05
"CAP1",1.17201221922287e-09,0.835252192982456,4.31604666771016,0.75,0.14,1.38496683945566e-05
"LOC107050614",1.26994722977142e-09,0.845120614035088,2.85174904141606,0.812,0.175,1.50069664142089e-05
"LOC101750583",1.27619120672621e-09,0.853344298245614,2.86835307736954,0.844,0.211,1.50807514898836e-05
"SLC25A32",1.30940160125921e-09,0.857456140350877,2.32074903360683,0.906,0.211,1.54731987220801e-05
"TCF12",1.36972664237519e-09,0.850328947368421,2.39915642117599,0.875,0.175,1.61860597329476e-05
"NME1",1.54069586799561e-09,0.117872807017544,-3.48903808072262,0.344,0.895,1.82064030721041e-05
"KAZALD1",1.61510681983084e-09,0.765625,10.5760414082772,0.531,0,1.9085717289941e-05
"GATA2",1.61619811325547e-09,0.765625,10.3267454634056,0.531,0,1.90986131043399e-05
"ZBTB20",1.70583956190547e-09,0.884868421052632,2.20005539715349,0.969,0.702,2.0157906103037e-05
"PTPRA",1.84135694642626e-09,0.813870614035088,3.62864979774374,0.688,0.088,2.17593150359191e-05
"DISP3",2.09464151155888e-09,0.149122807017544,-11.0691081715038,0,0.702,2.47523787420913e-05
"LOC771456",2.09740223753603e-09,0.149122807017544,-13.8213544109218,0,0.702,2.47850022409633e-05
"EYA4",2.15906011133589e-09,0.883771929824561,2.04972874694572,1,0.825,2.55136133356562e-05
"PPIA",2.39093516708746e-09,0.882949561403509,1.12030857862549,0.969,0.947,2.82536808694725e-05
"CHRNA9",2.39826945926945e-09,0.131030701754386,-5.15102300166762,0.156,0.825,2.83403502001871e-05
"LOC112533491",2.50466565029269e-09,0.774122807017544,5.73978060977326,0.562,0.018,2.95976339895087e-05
"CDKL1",2.53583772794906e-09,0.851151315789474,1.05053350765909,0.875,0.228,2.99659944311741e-05
"SH3GL1",3.08092799188205e-09,0.85827850877193,1.89001862997774,0.938,0.281,3.64073260800702e-05
"GAS2",3.1993587545605e-09,0.819901315789474,4.22953336234629,0.719,0.123,3.78068224026414e-05
"TRAFD1",3.60491663711185e-09,0.869791666666667,1.96666206478464,0.938,0.474,4.25992999007508e-05
"PRKG2",3.89147505718118e-09,0.78125,5.94141447094291,0.594,0.035,4.598556075071e-05
"IQGAP2",4.11420988151382e-09,0.131578947368421,-3.81714971592392,0.25,0.86,4.86176181698488e-05
"FAT4",4.12356591257624e-09,0.861019736842105,2.57064375095688,0.906,0.368,4.87281783889135e-05
"ST6GALNAC2",4.35054754171506e-09,0.770010964912281,4.53696372677357,0.562,0.018,5.14104203004469e-05
"S100A6",4.44334987498915e-09,0.810032894736842,4.55097759812526,0.688,0.105,5.25070654727468e-05
"SF3A2",4.85239973816054e-09,0.835800438596491,4.14983470153785,0.781,0.211,5.73408077058431e-05
"CD47",5.00713108674268e-09,0.846491228070175,2.43224732076396,0.875,0.246,5.91692680520383e-05
"APLP2",5.18206812409898e-09,0.874725877192982,1.45011989384075,1,0.877,6.12364990224777e-05
"LOC107051795",5.30252391649772e-09,0.874451754385965,2.01171518813811,0.969,0.895,6.26599251212535e-05
"DLK2",5.31096418603493e-09,0.868695175438597,2.86345364673186,0.969,0.526,6.27596637863748e-05
"TPI1",5.35974676614109e-09,0.125548245614035,-1.4611588194701,0.938,1,6.33361275354893e-05
"FZD9",5.37289159133002e-09,0.815241228070175,3.05189979610654,0.719,0.123,6.34914599347469e-05
"GAS7",5.58234662212258e-09,0.768092105263158,2.23868366919997,0.562,0.018,6.59665900336226e-05
"GALNT1",5.61999015640259e-09,0.848958333333333,2.72099713409384,0.875,0.281,6.64114236782094e-05
"TMPRSS13",5.98529295734126e-09,0.75,11.2155140407397,0.5,0,7.07282068769017e-05
"PDE10A",5.98924849330459e-09,0.75,10.261250186869,0.5,0,7.07749494453803e-05
"TP53I11",5.98924849330459e-09,0.75,11.6697293739135,0.5,0,7.07749494453803e-05
"HEPACAM2",5.98924849330459e-09,0.75,12.1975718700293,0.5,0,7.07749494453803e-05
"KIF19",6.39094454260337e-09,0.761513157894737,7.850811922162,0.531,0.018,7.5521791659944e-05
"ORMDL1",6.65291300701642e-09,0.870339912280702,2.05695907973314,0.938,0.702,7.86174730039131e-05
"DPYSL2",6.76419673241853e-09,0.870888157894737,2.19370297101436,0.938,0.754,7.99325127869898e-05
"PAK1",6.94236020885734e-09,0.781524122807018,5.72089071580234,0.594,0.053,8.20378705880672e-05
"POLR1D",7.48761570321754e-09,0.861293859649123,1.98156147321536,0.938,0.456,8.84811547649217e-05
"ACLY",7.83351669713286e-09,0.831414473684211,2.49427695574206,0.812,0.193,9.25686668100191e-05
"MAP4",7.86274033661317e-09,0.129934210526316,-3.19544425429761,0.781,0.947,9.29140025577578e-05
"RTN4",7.86851445610848e-09,0.129660087719298,-1.77827579640212,0.969,1,9.29822353278339e-05
"MLF1",8.12552390094789e-09,0.868695175438597,1.87802127108528,1,0.702,9.60193159375012e-05
"DBF4B",8.18451234684889e-09,0.166666666666667,-9.77905692765524,0,0.667,9.67163824027134e-05
"LOC428824",8.18744579912479e-09,0.166666666666667,-12.1908643391347,0,0.667,9.67510470082576e-05
"NMB",8.1889128739687e-09,0.166666666666667,-11.5367073321139,0,0.667,9.67683834316882e-05
"CPZ",8.19331549370555e-09,0.166666666666667,-13.4388647914817,0,0.667,9.68204091891185e-05
"DOT1L",8.20113358302581e-09,0.869791666666667,1.31935934524875,0.969,0.895,9.6912795550616e-05
"UBL5",8.50002027271081e-09,0.809758771929825,2.89702035158446,0.719,0.123,0.000100444739562624
"SMARCE1",8.57060695414424e-09,0.868695175438597,1.78461400835401,0.969,0.772,0.000101278862377122
"ITGA6",9.02217838690694e-09,0.800164473684211,4.81016993766466,0.656,0.105,0.000106615081998079
"TUBB2B",9.50857264185919e-09,0.864583333333333,2.19314940428161,0.969,0.596,0.00011236280290885
"MED27",9.62526042740671e-09,0.836074561403509,2.78796414328323,0.812,0.246,0.000113741702470665
"LOC101748311",9.90542393974259e-09,0.139254385964912,-3.17507336414568,0.344,0.842,0.000117052394695938
"ACTB",1.0270482534953e-08,0.867324561403509,1.71558424388305,1,0.86,0.000121366292115539
"RPLP1",1.06325959716651e-08,0.867050438596491,0.936920704933569,1,1,0.000125645386597166
"DDT",1.07529797460531e-08,0.845668859649123,2.07458327335193,0.906,0.298,0.00012706796165911
"SIK1",1.0838184544409e-08,0.13952850877193,-3.60856026605209,0.344,0.86,0.000128074826761282
"POLR2L",1.09718628579466e-08,0.865953947368421,1.25294558821021,0.969,0.772,0.000129654503392355
