"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"RRNAD1",0.395022267390008,0.536528716216216,1.48927801004978,0.216,0.156,1
"LOC112531913",0.395338169130867,0.461570945945946,-0.727301670491569,0.203,0.281,1
"NDUFAF2",0.395642954037333,0.453758445945946,-0.495492507834239,0.365,0.469,1
"FBXW11",0.395951585571549,0.458403716216216,1.09457216020715,0.257,0.344,1
"B3GLCT",0.396461209174739,0.469172297297297,1.90602385179099,0.108,0.188,1
"CZH5ORF51",0.396648264736352,0.539484797297297,1.33158653093254,0.27,0.188,1
"MRPL44",0.397314299693762,0.546663851351351,1.32401466845918,0.419,0.406,1
"DUSP18",0.397556161679166,0.468327702702703,-1.02658930847914,0.122,0.188,1
"HSPBAP1",0.397565872439991,0.468327702702703,-0.489331281626157,0.122,0.188,1
"HIRA",0.397575582744408,0.468327702702703,-0.583781415889829,0.122,0.188,1
"POU2F1",0.39760304191345,0.548564189189189,0.315312572878395,0.527,0.406,1
"RALA",0.3977956142604,0.546030405405405,1.00333285032756,0.419,0.344,1
"PCASP1",0.397822254806216,0.470228040540541,-3.37753466708757,0.108,0.156,1
"IMPAD1",0.399001616224944,0.545608108108108,1.45951350719382,0.392,0.375,1
"NME7",0.399026468149239,0.551942567567568,0.33093992075922,0.892,0.969,1
"SAP30BP",0.399372667747345,0.451224662162162,-0.497111558431566,0.5,0.531,1
"TBL2",0.399452927681824,0.453547297297297,0.495957494662411,0.392,0.469,1
"TSC1",0.400106376967227,0.453336148648649,-0.880542597595473,0.405,0.469,1
"CTC1",0.400747350390337,0.468538851351351,-0.439187762306566,0.122,0.188,1
"CDK12",0.401041124172629,0.467694256756757,-2.1736526442011,0.135,0.188,1
"RNF103",0.40254901856288,0.450168918918919,0.59367566798714,0.541,0.719,1
"KLHL12",0.402715663495585,0.464738175675676,0.250657647907123,0.162,0.25,1
"HCCS",0.403198420945311,0.548564189189189,0.843657970830613,0.541,0.469,1
"BIRC2",0.403662113030542,0.537162162162162,-0.545095790017617,0.243,0.156,1
"NPAT",0.403937538305305,0.46875,-0.857718448258624,0.122,0.188,1
