"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"SNRNP48",0.640738629676418,0.47708674304419,-0.642785292687244,0.385,0.404,1
"ATP9B",0.640800662202794,0.478314238952537,-0.551620088710823,0.308,0.34,1
"LOC112530493",0.641115607510344,0.521003818876159,-1.89565205497967,0.359,0.277,1
"IKBKB",0.641406197028152,0.477632296781233,-0.60033811537202,0.333,0.383,1
"CSK",0.641483474936367,0.512411347517731,-0.85634424926847,0.103,0.074,1
"ORC3",0.641582250766333,0.515411893071468,0.677606253329725,0.154,0.128,1
"ARL8BL",0.641733235878875,0.523595199127114,-0.380178900731434,0.487,0.436,1
"ALCAM",0.641788332486419,0.486633933442444,-0.345182135202035,0.077,0.106,1
"PRORSD1P",0.642398782201659,0.520185488270595,-0.753780928731738,0.308,0.255,1
"N6AMT1",0.642583650431355,0.48240589198036,-1.60528248510075,0.179,0.191,1
"CCNL1",0.642610606407314,0.517866884888161,0.269186632815389,0.231,0.181,1
"NSDHL",0.642699822475511,0.520731042007638,-0.408317553522954,0.333,0.277,1
"PRDX4",0.643030592240141,0.522640480087289,-0.568060663552789,0.462,0.362,1
"HMGCR",0.643220338248198,0.474768139661757,-1.07277921530852,0.692,0.66,1
"TGFB3",0.643382317412108,0.484315330060011,-2.50842094584816,0.128,0.149,1
"KMT5B",0.643511354619284,0.475859247135843,-0.678671722394239,0.513,0.511,1
"DSCR3",0.644740983321508,0.478723404255319,-0.647729680978396,0.308,0.33,1
"FAM126B",0.644902024301581,0.479405346426623,-0.964479218607884,0.256,0.309,1
"UMPS",0.644903327852137,0.520594653573377,0.422190381782358,0.308,0.287,1
"KIF18A",0.645003189366708,0.482815057283142,-0.37851162325373,0.154,0.191,1
"RGN",0.645590223702408,0.520185488270595,1.63221074683512,0.308,0.266,1
"PIGG",0.646044237734121,0.518685215493726,-0.565311818697304,0.256,0.213,1
"TEX9",0.646362378539282,0.475859247135843,-0.567554398086654,0.487,0.553,1
"NUP214",0.646667974921218,0.481587561374795,-0.847866095344165,0.205,0.223,1
"RRAGA",0.646939151174033,0.523322422258592,-0.670044682835348,0.538,0.426,1
"ATXN10",0.647076866703293,0.477632296781233,-0.589340941231731,0.385,0.394,1
"POFUT1",0.647171245322176,0.518139661756683,0.612206141436547,0.231,0.202,1
"GGA1",0.647644505897283,0.482951445717403,-0.949348312851545,0.154,0.191,1
"WHSC1L1",0.647646369638836,0.482951445717403,-0.551213709366615,0.154,0.191,1
"EVC",0.647650097033406,0.482951445717403,-0.28378575366133,0.154,0.191,1
"C9orf85",0.647703151992152,0.518821603927987,0.529923753066809,0.256,0.223,1
"TMX4",0.648164619641177,0.480769230769231,-0.864778462844371,0.231,0.255,1
