"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"WASHC3",1.85607039005024e-05,0.694901315789474,0.355289986619115,0.781,0.347,0.219331837992237
"GNPTAB",1.86671270220331e-05,0.653527676950998,1.41193000742697,0.469,0.172,0.220589440019365
"COG4",1.86939350170026e-05,0.665749773139746,0.339663774476879,0.562,0.211,0.22090623009592
"CDC42",1.87752240015019e-05,0.72393942831216,0.577112551643273,0.969,0.791,0.221866822025748
"UBE2K",1.88322527028775e-05,0.704004083484574,0.627344614695171,0.844,0.416,0.222540730189903
"TET2",1.89201640299519e-05,0.67970167876588,0.475338009546658,0.625,0.269,0.223579578341942
"OSCP1",1.89954158951526e-05,0.677801724137931,0.525789661199032,0.656,0.258,0.224468829633019
"LOC107049543",1.91668226743695e-05,0.70700998185118,0.459955377960853,0.844,0.446,0.226494343543025
"AARS",1.91894339383862e-05,0.692944646098004,0.810267105204071,0.719,0.339,0.22676154084991
"ATAD1",1.94180162210569e-05,0.687868647912886,0.36423118165729,0.688,0.31,0.229462697684229
"FAF1",1.94954819607616e-05,0.650918784029038,0.482877066053134,0.469,0.165,0.23037811033032
"TMEM245",1.95104954671834e-05,0.605943738656987,1.73542359350559,0.281,0.069,0.230555524935706
"RPS10",1.95617806102018e-05,0.71744555353902,0.504486868552554,0.938,0.588,0.231161561470755
"MRPS23",1.98940407397258e-05,0.700034029038113,0.369835642691661,0.812,0.388,0.23508787942134
"GGA3",2.03402893658562e-05,0.648253176043557,0.424162865284887,0.469,0.158,0.240361199436323
"DNAJC2",2.05288438146158e-05,0.688237295825771,0.514769086277529,0.719,0.314,0.242589347357315
"CXorf23",2.12678852902385e-05,0.655200771324864,0.596500911333902,0.5,0.18,0.251322600474748
"PDHA1",2.12733862013708e-05,0.692178992740472,0.65901414837875,0.719,0.341,0.251387604741599
"FUBP1",2.13654110791217e-05,0.710583030852995,0.488321992632774,0.906,0.497,0.252475062721981
"SMPX",2.14254655102558e-05,0.307622504537205,-10.1694157935567,0,0.385,0.253184725934693
"SERPINF1",2.14258385427244e-05,0.307622504537205,-12.5153993438907,0,0.385,0.253189134059374
"RSPH3",2.14681740921265e-05,0.621171733212341,0.525550169246726,0.344,0.096,0.253689413246659
"USP6NL",2.1493051686311e-05,0.691526769509982,0.715799651452272,0.719,0.338,0.253983391777137
"ACOT13",2.15758261748741e-05,0.680609119782214,0.687126122534223,0.656,0.278,0.254961537908487
"FAM18B1",2.16258198298763e-05,0.715347096188748,0.619487892549285,0.969,0.568,0.255552312929649
"CNOT10",2.16639520609144e-05,0.659681261343013,1.03372682715275,0.5,0.196,0.256002921503825
"PHF10",2.17366702321259e-05,0.652308303085299,0.367443291231381,0.5,0.171,0.256862232133032
"PAPOLA",2.17961214940973e-05,0.702245916515426,0.663377993663555,0.812,0.416,0.257564767695747
"UQCRC2",2.18241435499159e-05,0.712823275862069,0.726669411923424,0.969,0.528,0.257895904329357
"PRPF38A",2.19137454413528e-05,0.673774954627949,0.699565603394404,0.625,0.247,0.258954729880466
"IMPACT",2.19327968864433e-05,0.614025635208711,1.20417476273451,0.312,0.083,0.2591798608071
"IFNAR1",2.19766182400997e-05,0.566838702359347,3.53079379380635,0.156,0.024,0.259697697743258
"ZW10",2.21287373090596e-05,0.604213929219601,1.04296293501051,0.281,0.067,0.261495288781157
"LRRC49",2.22963108254663e-05,0.648706896551724,0.334289070056941,0.469,0.162,0.263475505024535
"SESTD1",2.23167011483174e-05,0.645133847549909,1.27651212144504,0.438,0.152,0.263716457469666
"VPS72",2.24681462619727e-05,0.698757940108893,0.325899844036344,0.844,0.387,0.265506084377732
"LCAT",2.28148168968889e-05,0.308529945553539,-13.8295615986225,0,0.383,0.269602691270536
"LIMA1",2.28824216671798e-05,0.65298888384755,-0.319116753434039,0.5,0.174,0.270401576841064
