"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"METTL5.1",0.000530841238124252,0.644746669986306,0.687067059345209,0.517,0.235,1,"7","METTL5"
"RNF138.2",0.000536257375686108,0.622556952570646,0.319309198152258,0.414,0.15,1,"7","RNF138"
"POLR2I",0.000538828617911159,0.665037968380431,1.13266603994967,0.69,0.354,1,"7","POLR2I"
"UBP1.1",0.000540946669021115,0.595792356529317,0.831004489145859,0.276,0.083,1,"7","UBP1"
"CERS5.7",0.000547280777816367,0.676833063612598,0.607705984985579,0.828,0.468,1,"7","CERS5"
"SNRPL.4",0.000551583758492863,0.678575874517615,0.631890339993149,0.793,0.495,1,"7","SNRPL"
"TRMT5.4",0.000554477882067811,0.631613344952073,1.26687426732105,0.448,0.182,1,"7","TRMT5"
"TUBA1A1.4",0.000557065155563219,0.310033611353168,-0.946689129801391,0.828,0.931,1,"7","TUBA1A1"
"SEC11A.2",0.00055846363362307,0.67403211751525,0.435650951867274,0.793,0.439,1,"7","SEC11A"
"EEF1E1.3",0.000559402861947307,0.65458110295033,0.970753378898605,0.621,0.287,1,"7","EEF1E1"
"PABPC1.3",0.000559902968343241,0.687632266899041,0.913210962927461,0.828,0.706,1,"7","PABPC1"
"C5H14orf166.1",0.000562980555430404,0.682932901780157,0.550020922542553,0.897,0.569,1,"7","C5H14orf166"
"ATL1",0.000565214632115828,0.596259180878875,1.16227271228153,0.276,0.085,1,"7","ATL1"
"CLN6.6",0.000565732332831688,0.68311963151998,0.868640729518907,0.793,0.579,1,"7","CLN6"
"GBAS.1",0.000568799764493017,0.682248226067472,0.683157116369185,0.862,0.56,1,"7","GBAS"
"ABHD12B.4",0.000570383689473266,0.636966264160339,1.86070521123631,0.483,0.204,1,"7","ABHD12B"
"LOC112530332.1",0.000572084128162804,0.577026017677082,2.43730853998068,0.207,0.051,1,"7","LOC112530332"
"DUSP18",0.000572173785513133,0.577026017677082,0.951486940598129,0.207,0.051,1,"7","DUSP18"
"DDX10.3",0.000577225880277064,0.630741939499564,0.367752041071633,0.448,0.181,1,"7","DDX10"
"UBR3.4",0.000578878920636819,0.651468940619943,0.439743468897736,0.552,0.274,1,"7","UBR3"
"RBM7.2",0.000581447690643716,0.634227561309598,0.986060459919782,0.448,0.195,1,"7","RBM7"
"ATP6V1H.6",0.000585372364348035,0.666127225196066,0.748637120525283,0.69,0.372,1,"7","ATP6V1H"
"RPL23A.3",0.000592998942409802,0.688565915598158,0.624709168811354,0.862,0.823,1,"7","RPL23A"
"MOSPD2",0.000593457704816716,0.594298518610731,1.14028395350168,0.276,0.081,1,"7","MOSPD2"
"PDHX.1",0.000594183139402338,0.627629777169177,0.42492752855861,0.448,0.17,1,"7","PDHX"
"AK1.7",0.000595049364053122,0.671200049794597,0.766440427646883,0.828,0.415,1,"7","AK1"
"CNOT10.2",0.000597149189318904,0.635223453255322,1.03102861113065,0.448,0.2,1,"7","CNOT10"
"YWHAE.1",0.000601595933636078,0.688565915598158,0.578143895957595,0.931,0.85,1,"7","YWHAE"
"PCDH18",0.0006017444846271,0.577772936636375,1.68856775842735,0.207,0.052,1,"7","PCDH18"
"EPHA4.3",0.000607539830970978,0.618106560438192,1.0951319171093,0.379,0.141,1,"7","EPHA4"
"SIAH1.1",0.000610940033994625,0.641696750902527,0.731977272024467,0.517,0.227,1,"7","SIAH1"
"ZCRB1.4",0.000611426339860558,0.669426117266277,1.10432795385337,0.759,0.404,1,"7","ZCRB1"
