"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITPK1",6.12272002885835e-16,0.799726621417798,2.07402059510867,0.769,0.226,7.23521825810191e-12
"BBOX1",6.1260646660782e-16,0.730439291101056,2.27737717618946,0.564,0.105,7.23917061590461e-12
"C19orf35",7.21307589241146e-16,0.586915535444947,6.29625765918606,0.179,0.006,8.52369178206262e-12
"GALNT9",8.33182375756918e-16,0.845564668174962,1.84189969393259,0.949,0.381,9.8457161343195e-12
"RNF224",9.12789182056063e-16,0.823317307692308,2.41550562464765,0.872,0.296,1.07864297643565e-11
"CRIP2",2.09078552948928e-15,0.839578619909502,1.64207042951872,0.974,0.373,2.47068126019749e-11
"GRXCR1",2.1657148234682e-15,0.809742647058823,1.77349506188422,0.897,0.263,2.55922520689237e-11
"CDKL1",2.22671978423951e-15,0.791053921568627,1.74257487006796,0.795,0.217,2.63131476903582e-11
"JAG2",2.26018524842041e-15,0.825226244343891,1.82191544436844,0.923,0.316,2.6708609080584e-11
"TMC1",2.27524090242203e-15,0.840615573152338,1.86531194404479,0.974,0.381,2.68865217439212e-11
"DPP7",3.34107253507878e-15,0.847190799396682,1.57892702711246,0.974,0.428,3.94814541470259e-11
"SSBP2",3.45755256038642e-15,0.813018476621418,1.86977581598116,0.846,0.285,4.08578986060863e-11
"HSPA2",4.53971688742162e-15,0.859799208144796,1.97573875680981,0.974,0.537,5.36458344586613e-11
"LRRC46",5.70143606608574e-15,0.734115761689291,2.06079489078826,0.59,0.121,6.73738699929351e-11
"VAPB",7.10008652880288e-15,0.861142533936652,1.84936007017873,1,0.577,8.39017225108637e-11
"VIM",9.52115911991609e-15,0.812052224736048,1.66132235503886,0.897,0.296,1.12511537320048e-10
"EHD4",1.06489058718652e-14,0.707744155354449,1.732076489006,0.513,0.09,1.25838120687831e-10
"JPH3",1.07169430012186e-14,0.607937405731523,4.17592588078546,0.231,0.015,1.26642115445401e-10
"LSAMP",1.16966362995447e-14,0.839625754147813,1.47214080106737,1,0.423,1.3821915115172e-10
"ST3GAL6",1.19797715781504e-14,0.753205128205128,2.1122606823195,0.641,0.158,1.41564960739004e-10
"TNFAIP8L1",1.27496037541166e-14,0.834723793363499,1.57427376667587,0.974,0.399,1.50662067562396e-10
"MAPK10",1.35596225184969e-14,0.728624622926094,2.32143991709896,0.564,0.119,1.60234059301078e-10
"CHRNA10",1.47226777594383e-14,0.818226809954751,1.49493391109149,0.949,0.325,1.73977883083283e-10
"RIMS2",1.53854296079827e-14,0.793080693815988,1.95251272367374,0.821,0.246,1.81809621677532e-10
"ENOPH1",1.76905655271621e-14,0.759426847662142,1.39946918924724,0.692,0.171,2.09049412834474e-10
"NEURL1B",1.9731804907164e-14,0.679628582202112,3.78199070478713,0.41,0.064,2.33170738587957e-10
"TBXA2R",1.98581842860152e-14,0.738711349924585,1.52077451199807,0.615,0.136,2.34664163707841e-10
"LRGUK",2.18489863269351e-14,0.812075791855204,1.89982577137555,0.923,0.311,2.58189471425392e-10
"LOC107053185",2.18560705237328e-14,0.59704939668175,5.0983020736118,0.205,0.011,2.58273185378951e-10
"OAT",2.30315858382618e-14,0.833356900452489,1.62453696921875,0.974,0.41,2.7216424985074e-10
"THAP4",2.81950342027744e-14,0.818556749622926,1.65803397505682,0.949,0.342,3.33180719174185e-10
"SEC14L2",3.36052962717728e-14,0.674797322775264,2.1612638506744,0.41,0.061,3.97113786043539e-10
"AMT",3.83705240301216e-14,0.699377828054299,2.40152269280436,0.487,0.086,4.53424482463947e-10
"C9orf116",3.94153765121352e-14,0.815092383107089,1.75464767991331,0.897,0.338,4.65771504243901e-10
"SFXN3",4.21806130751376e-14,0.818368212669683,1.64300393080606,0.923,0.353,4.98448304708901e-10
"HYDIN",5.50519058599464e-14,0.742222850678733,2.07750004911267,0.615,0.151,6.50548371546986e-10
"NMNAT3",5.71985157128904e-14,0.657734728506787,3.30226550492961,0.359,0.048,6.75914860179225e-10
"TSPAN13",6.66554920596193e-14,0.858903657616893,1.24476584985678,1,0.928,7.87667949668521e-10
"TMEM9",7.2754705647475e-14,0.815752262443439,1.8730355115584,0.897,0.357,8.59742356636212e-10
"RPS6KL1",8.06074178587181e-14,0.654953808446455,1.95822088052532,0.359,0.046,9.52537856836472e-10
"ZDHHC13",8.55590574206524e-14,0.737580128205128,1.96931759851792,0.615,0.145,1.01105138153985e-09
"GFI1",1.01107148531628e-13,0.833191930618401,1.73350116345532,0.974,0.465,1.19478317419825e-09
"VSIG10L",1.02919558961533e-13,0.743165535444947,2.40302540819634,0.615,0.158,1.21620042824844e-09
"NECAB3",1.35447718037867e-13,0.796710030165912,1.53321532525471,0.872,0.292,1.60058568405347e-09
"PKIG",1.40716468014592e-13,0.835336538461538,1.42732511407547,1,0.496,1.66284650252844e-09
"TOX",1.43898974494939e-13,0.73538838612368,1.3233124177579,0.615,0.145,1.7004541816067e-09
